,instant,dteday,season,temp,hum,windspeed
48,49,2011-01-03,1,0.2,0.44,0.4179
49,50,2011-01-03,1,0.16,0.47,0.3881
50,51,2011-01-03,1,0.16,0.47,0.2836
51,52,2011-01-03,1,0.14,0.5,0.3881
52,53,2011-01-03,1,0.14,0.5,0.194
53,54,2011-01-03,1,0.14,0.5,0.2836
54,55,2011-01-03,1,0.16,0.43,0.3881
55,56,2011-01-03,1,0.18,0.43,0.2537
56,57,2011-01-03,1,0.2,0.4,0.3284
57,58,2011-01-03,1,0.22,0.35,0.2985
58,59,2011-01-03,1,0.24,0.35,0.2836
59,60,2011-01-03,1,0.26,0.3,0.2836
60,61,2011-01-03,1,0.26,0.3,0.2537
61,62,2011-01-03,1,0.26,0.3,0.2537
62,63,2011-01-03,1,0.24,0.3,0.2239
63,64,2011-01-03,1,0.24,0.32,0.1045
64,65,2011-01-03,1,0.2,0.47,0.0
65,66,2011-01-03,1,0.2,0.47,0.1045
66,67,2011-01-03,1,0.18,0.64,0.1343
67,68,2011-01-03,1,0.14,0.69,0.1343
68,69,2011-01-03,1,0.18,0.55,0.1045
69,70,2011-01-04,1,0.16,0.55,0.1045
70,71,2011-01-04,1,0.16,0.59,0.1045
71,72,2011-01-04,1,0.14,0.63,0.1343
72,73,2011-01-04,1,0.14,0.63,0.0896
73,74,2011-01-04,1,0.12,0.68,0.1045
74,75,2011-01-04,1,0.12,0.74,0.1045
75,76,2011-01-04,1,0.12,0.74,0.1343
76,77,2011-01-04,1,0.14,0.69,0.1642
77,78,2011-01-04,1,0.16,0.64,0.2239
78,79,2011-01-04,1,0.16,0.69,0.3284
79,80,2011-01-04,1,0.22,0.51,0.2985
80,81,2011-01-04,1,0.22,0.51,0.1642
81,82,2011-01-04,1,0.24,0.56,0.194
82,83,2011-01-04,1,0.26,0.52,0.2239
83,84,2011-01-04,1,0.28,0.52,0.2537
84,85,2011-01-04,1,0.3,0.49,0.2537
85,86,2011-01-04,1,0.28,0.48,0.2239
86,87,2011-01-04,1,0.26,0.48,0.194
87,88,2011-01-04,1,0.24,0.48,0.1045
88,89,2011-01-04,1,0.24,0.48,0.1045
89,90,2011-01-04,1,0.22,0.64,0.0
90,91,2011-01-04,1,0.22,0.64,0.0896
91,92,2011-01-04,1,0.2,0.69,0.0896
92,93,2011-01-05,1,0.2,0.64,0.0
93,94,2011-01-05,1,0.16,0.74,0.0896
94,95,2011-01-05,1,0.16,0.74,0.0896
95,96,2011-01-05,1,0.24,0.48,0.2239
96,97,2011-01-05,1,0.22,0.47,0.1642
97,98,2011-01-05,1,0.2,0.47,0.2239
98,99,2011-01-05,1,0.18,0.43,0.194
99,100,2011-01-05,1,0.2,0.4,0.2985
100,101,2011-01-05,1,0.22,0.37,0.3284
101,102,2011-01-05,1,0.22,0.37,0.3284
102,103,2011-01-05,1,0.26,0.33,0.3284
103,104,2011-01-05,1,0.26,0.33,0.3284
104,105,2011-01-05,1,0.28,0.3,0.2985
105,106,2011-01-05,1,0.3,0.28,0.194
106,107,2011-01-05,1,0.3,0.28,0.194
107,108,2011-01-05,1,0.3,0.28,0.0896
108,109,2011-01-05,1,0.24,0.38,0.194
109,110,2011-01-05,1,0.24,0.38,0.1343
110,111,2011-01-05,1,0.24,0.38,0.1045
111,112,2011-01-05,1,0.22,0.47,0.1642
112,113,2011-01-05,1,0.2,0.51,0.194
113,114,2011-01-05,1,0.18,0.55,0.1343
114,115,2011-01-05,1,0.2,0.47,0.0
115,116,2011-01-06,1,0.18,0.55,0.0
116,117,2011-01-06,1,0.16,0.64,0.0
117,118,2011-01-06,1,0.16,0.64,0.0
118,119,2011-01-06,1,0.16,0.64,0.0896
119,120,2011-01-06,1,0.14,0.69,0.0896
120,121,2011-01-06,1,0.14,0.63,0.1045
121,122,2011-01-06,1,0.16,0.59,0.0
122,123,2011-01-06,1,0.16,0.59,0.0
123,124,2011-01-06,1,0.18,0.51,0.0
124,125,2011-01-06,1,0.2,0.47,0.0
125,126,2011-01-06,1,0.22,0.44,0.0896
126,127,2011-01-06,1,0.26,0.35,0.0
127,128,2011-01-06,1,0.26,0.35,0.1045
128,129,2011-01-06,1,0.28,0.36,0.1642
129,130,2011-01-06,1,0.28,0.36,0.0
130,131,2011-01-06,1,0.26,0.38,0.1642
131,132,2011-01-06,1,0.22,0.51,0.1642
132,133,2011-01-06,1,0.22,0.51,0.1343
133,134,2011-01-06,1,0.22,0.55,0.0896
134,135,2011-01-06,1,0.2,0.51,0.1642
135,136,2011-01-06,1,0.22,0.55,0.2239
136,137,2011-01-06,1,0.22,0.51,0.2836
137,138,2011-01-06,1,0.2,0.59,0.194
138,139,2011-01-07,1,0.2,0.64,0.194
139,140,2011-01-07,1,0.2,0.69,0.2239
140,141,2011-01-07,1,0.2,0.69,0.2239
141,142,2011-01-07,1,0.2,0.69,0.1343
142,143,2011-01-07,1,0.22,0.55,0.0
143,144,2011-01-07,1,0.2,0.69,0.0
144,145,2011-01-07,1,0.2,0.69,0.1343
145,146,2011-01-07,1,0.2,0.51,0.2537
146,147,2011-01-07,1,0.2,0.47,0.2985
147,148,2011-01-07,1,0.22,0.37,0.3284
148,149,2011-01-07,1,0.2,0.4,0.2239
149,150,2011-01-07,1,0.2,0.37,0.2537
150,151,2011-01-07,1,0.2,0.37,0.2836
151,152,2011-01-07,1,0.2,0.4,0.2537
152,153,2011-01-07,1,0.2,0.37,0.1642
153,154,2011-01-07,1,0.2,0.37,0.1642
154,155,2011-01-07,1,0.2,0.37,0.0
155,156,2011-01-07,1,0.2,0.4,0.0896
156,157,2011-01-07,1,0.16,0.55,0.0896
157,158,2011-01-07,1,0.18,0.47,0.1045
158,159,2011-01-07,1,0.18,0.47,0.1343
159,160,2011-01-07,1,0.18,0.43,0.1642
160,161,2011-01-07,1,0.18,0.51,0.1642
161,162,2011-01-08,1,0.18,0.51,0.1642
162,163,2011-01-08,1,0.18,0.55,0.0896
163,164,2011-01-08,1,0.18,0.55,0.0
164,165,2011-01-08,1,0.18,0.55,0.1642
165,166,2011-01-08,1,0.18,0.55,0.1642
166,167,2011-01-08,1,0.16,0.74,0.1642
167,168,2011-01-08,1,0.16,0.74,0.1642
168,169,2011-01-08,1,0.16,0.74,0.1045
169,170,2011-01-08,1,0.16,0.93,0.1045
170,171,2011-01-08,1,0.16,0.93,0.1045
171,172,2011-01-08,1,0.18,0.8,0.1642
172,173,2011-01-08,1,0.2,0.69,0.3881
173,174,2011-01-08,1,0.2,0.59,0.3582
174,175,2011-01-08,1,0.2,0.44,0.3284
175,176,2011-01-08,1,0.2,0.32,0.4925
176,177,2011-01-08,1,0.2,0.32,0.4478
177,178,2011-01-08,1,0.18,0.29,0.4478
178,179,2011-01-08,1,0.16,0.37,0.5522
179,180,2011-01-08,1,0.14,0.39,0.2985
180,181,2011-01-08,1,0.14,0.36,0.2537
181,182,2011-01-08,1,0.12,0.36,0.2537
182,183,2011-01-08,1,0.12,0.39,0.3582
183,184,2011-01-08,1,0.12,0.36,0.3881
184,185,2011-01-08,1,0.1,0.39,0.4478
185,186,2011-01-09,1,0.1,0.42,0.3881
186,187,2011-01-09,1,0.1,0.42,0.4627
187,188,2011-01-09,1,0.1,0.46,0.4627
188,189,2011-01-09,1,0.1,0.46,0.4179
189,190,2011-01-09,1,0.08,0.53,0.194
190,191,2011-01-09,1,0.08,0.53,0.194
191,192,2011-01-09,1,0.1,0.49,0.2836
192,193,2011-01-09,1,0.08,0.53,0.194
193,194,2011-01-09,1,0.1,0.49,0.2836
194,195,2011-01-09,1,0.12,0.46,0.5224
195,196,2011-01-09,1,0.14,0.43,0.3881
196,197,2011-01-09,1,0.16,0.4,0.5224
197,198,2011-01-09,1,0.18,0.37,0.4478
198,199,2011-01-09,1,0.2,0.34,0.4478
199,200,2011-01-09,1,0.22,0.32,0.4627
200,201,2011-01-09,1,0.22,0.35,0.3582
201,202,2011-01-09,1,0.2,0.34,0.4478
202,203,2011-01-09,1,0.18,0.37,0.3881
203,204,2011-01-09,1,0.16,0.4,0.3284
204,205,2011-01-09,1,0.16,0.43,0.3284
205,206,2011-01-09,1,0.14,0.46,0.2537
206,207,2011-01-09,1,0.14,0.46,0.4179
207,208,2011-01-09,1,0.14,0.46,0.2985
208,209,2011-01-09,1,0.12,0.5,0.194
209,210,2011-01-10,1,0.12,0.5,0.2836
210,211,2011-01-10,1,0.12,0.5,0.2836
211,212,2011-01-10,1,0.12,0.5,0.2239
212,213,2011-01-10,1,0.12,0.5,0.2239
213,214,2011-01-10,1,0.1,0.54,0.1343
214,215,2011-01-10,1,0.1,0.54,0.2537
215,216,2011-01-10,1,0.12,0.5,0.2836
216,217,2011-01-10,1,0.12,0.5,0.2239
217,218,2011-01-10,1,0.12,0.5,0.2836
218,219,2011-01-10,1,0.14,0.5,0.2537
219,220,2011-01-10,1,0.14,0.5,0.2985
220,221,2011-01-10,1,0.16,0.47,0.2836
221,222,2011-01-10,1,0.2,0.4,0.2836
222,223,2011-01-10,1,0.2,0.4,0.2836
223,224,2011-01-10,1,0.2,0.4,0.2239
224,225,2011-01-10,1,0.2,0.4,0.2239
225,226,2011-01-10,1,0.2,0.4,0.1343
226,227,2011-01-10,1,0.2,0.4,0.1045
227,228,2011-01-10,1,0.2,0.4,0.2239
228,229,2011-01-10,1,0.16,0.47,0.1642
229,230,2011-01-10,1,0.16,0.5,0.1642
230,231,2011-01-10,1,0.14,0.59,0.194
231,232,2011-01-10,1,0.14,0.59,0.1642
232,233,2011-01-10,1,0.14,0.59,0.1642
233,234,2011-01-11,1,0.14,0.59,0.1045
234,235,2011-01-11,1,0.14,0.59,0.1642
235,236,2011-01-11,1,0.16,0.55,0.194
236,237,2011-01-11,1,0.16,0.55,0.1343
237,238,2011-01-11,1,0.16,0.55,0.1343
238,239,2011-01-11,1,0.16,0.55,0.0
239,240,2011-01-11,1,0.18,0.51,0.0896
240,241,2011-01-11,1,0.18,0.51,0.1642
241,242,2011-01-11,1,0.2,0.51,0.1642
242,243,2011-01-11,1,0.2,0.47,0.1343
243,244,2011-01-11,1,0.2,0.51,0.1045
244,245,2011-01-11,1,0.2,0.59,0.0896
245,246,2011-01-11,1,0.2,0.59,0.0896
246,247,2011-01-11,1,0.16,0.8,0.0896
247,248,2011-01-11,1,0.16,0.86,0.2239
248,249,2011-01-11,1,0.16,0.86,0.2239
249,250,2011-01-11,1,0.16,0.93,0.1045
250,251,2011-01-11,1,0.16,0.93,0.0
251,252,2011-01-11,1,0.16,0.93,0.194
252,253,2011-01-11,1,0.16,0.86,0.0896
253,254,2011-01-11,1,0.16,0.93,0.1045
254,255,2011-01-11,1,0.16,0.93,0.0896
255,256,2011-01-12,1,0.16,0.86,0.0896
256,257,2011-01-12,1,0.16,0.86,0.1045
257,258,2011-01-12,1,0.14,0.86,0.1343
258,259,2011-01-12,1,0.14,0.86,0.1642
259,260,2011-01-12,1,0.12,0.93,0.1343
260,261,2011-01-12,1,0.14,0.69,0.1343
261,262,2011-01-12,1,0.16,0.59,0.1642
262,263,2011-01-12,1,0.16,0.59,0.3284
263,264,2011-01-12,1,0.18,0.55,0.2239
264,265,2011-01-12,1,0.2,0.51,0.3881
265,266,2011-01-12,1,0.2,0.47,0.5821
266,267,2011-01-12,1,0.22,0.44,0.3582
267,268,2011-01-12,1,0.2,0.47,0.3284
268,269,2011-01-12,1,0.2,0.47,0.4179
269,270,2011-01-12,1,0.22,0.44,0.3284
270,271,2011-01-12,1,0.2,0.47,0.3582
271,272,2011-01-12,1,0.2,0.47,0.5224
272,273,2011-01-12,1,0.18,0.47,0.4179
273,274,2011-01-12,1,0.16,0.5,0.3284
274,275,2011-01-12,1,0.16,0.55,0.3284
275,276,2011-01-12,1,0.16,0.55,0.4478
276,277,2011-01-12,1,0.14,0.59,0.4179
277,278,2011-01-13,1,0.14,0.59,0.2836
278,279,2011-01-13,1,0.14,0.5,0.2836
279,280,2011-01-13,1,0.14,0.5,0.3582
280,281,2011-01-13,1,0.14,0.5,0.3284
281,282,2011-01-13,1,0.14,0.5,0.2537
282,283,2011-01-13,1,0.14,0.5,0.2985
283,284,2011-01-13,1,0.12,0.54,0.1343
284,285,2011-01-13,1,0.12,0.54,0.1343
285,286,2011-01-13,1,0.14,0.5,0.194
286,287,2011-01-13,1,0.14,0.5,0.3284
287,288,2011-01-13,1,0.16,0.5,0.3582
288,289,2011-01-13,1,0.2,0.44,0.4478
289,290,2011-01-13,1,0.2,0.44,0.4179
290,291,2011-01-13,1,0.22,0.41,0.4478
291,292,2011-01-13,1,0.22,0.41,0.3881
292,293,2011-01-13,1,0.24,0.38,0.2985
293,294,2011-01-13,1,0.24,0.38,0.3582
294,295,2011-01-13,1,0.2,0.4,0.2836
295,296,2011-01-13,1,0.2,0.4,0.3284
296,297,2011-01-13,1,0.16,0.47,0.2537
297,298,2011-01-13,1,0.16,0.47,0.2239
298,299,2011-01-13,1,0.14,0.46,0.2985
299,300,2011-01-13,1,0.14,0.46,0.3284
300,301,2011-01-13,1,0.12,0.5,0.194
301,302,2011-01-14,1,0.12,0.5,0.194
302,303,2011-01-14,1,0.1,0.54,0.1642
303,304,2011-01-14,1,0.1,0.54,0.1343
304,305,2011-01-14,1,0.1,0.54,0.1045
305,306,2011-01-14,1,0.1,0.54,0.0896
306,307,2011-01-14,1,0.1,0.54,0.0
307,308,2011-01-14,1,0.1,0.74,0.1642
308,309,2011-01-14,1,0.12,0.68,0.0
309,310,2011-01-14,1,0.14,0.69,0.1343
310,311,2011-01-14,1,0.18,0.55,0.194
311,312,2011-01-14,1,0.18,0.51,0.2836
312,313,2011-01-14,1,0.2,0.44,0.2537
313,314,2011-01-14,1,0.22,0.37,0.3881
314,315,2011-01-14,1,0.22,0.41,0.2836
315,316,2011-01-14,1,0.24,0.38,0.1642
316,317,2011-01-14,1,0.22,0.41,0.1045
317,318,2011-01-14,1,0.22,0.41,0.1642
318,319,2011-01-14,1,0.2,0.47,0.0
319,320,2011-01-14,1,0.16,0.59,0.0896
320,321,2011-01-14,1,0.18,0.59,0.0
321,322,2011-01-14,1,0.16,0.69,0.0
322,323,2011-01-14,1,0.16,0.69,0.0
323,324,2011-01-14,1,0.18,0.55,0.0
324,325,2011-01-15,1,0.18,0.55,0.0
325,326,2011-01-15,1,0.16,0.59,0.0896
326,327,2011-01-15,1,0.16,0.59,0.0896
327,328,2011-01-15,1,0.16,0.59,0.0
328,329,2011-01-15,1,0.16,0.59,0.0
329,330,2011-01-15,1,0.16,0.59,0.0
330,331,2011-01-15,1,0.14,0.63,0.1045
331,332,2011-01-15,1,0.14,0.63,0.0
332,333,2011-01-15,1,0.14,0.63,0.1343
333,334,2011-01-15,1,0.16,0.64,0.1343
334,335,2011-01-15,1,0.18,0.59,0.1642
335,336,2011-01-15,1,0.2,0.55,0.2239
336,337,2011-01-15,1,0.24,0.48,0.2239
337,338,2011-01-15,1,0.28,0.38,0.2985
338,339,2011-01-15,1,0.3,0.39,0.2836
339,340,2011-01-15,1,0.32,0.36,0.194
340,341,2011-01-15,1,0.34,0.34,0.194
341,342,2011-01-15,1,0.32,0.36,0.2836
342,343,2011-01-15,1,0.3,0.45,0.2537
343,344,2011-01-15,1,0.32,0.39,0.2537
344,345,2011-01-15,1,0.32,0.39,0.2537
345,346,2011-01-15,1,0.32,0.39,0.2239
346,347,2011-01-15,1,0.3,0.42,0.1045
347,348,2011-01-15,1,0.3,0.45,0.2836
348,349,2011-01-16,1,0.26,0.56,0.0
349,350,2011-01-16,1,0.26,0.56,0.1343
350,351,2011-01-16,1,0.26,0.56,0.0896
351,352,2011-01-16,1,0.22,0.69,0.0
352,353,2011-01-16,1,0.26,0.56,0.1642
353,354,2011-01-16,1,0.26,0.56,0.1642
354,355,2011-01-16,1,0.26,0.56,0.1642
355,356,2011-01-16,1,0.24,0.56,0.2985
356,357,2011-01-16,1,0.22,0.55,0.2836
357,358,2011-01-16,1,0.22,0.51,0.2537
358,359,2011-01-16,1,0.22,0.51,0.2836
359,360,2011-01-16,1,0.24,0.44,0.2537
360,361,2011-01-16,1,0.24,0.41,0.2836
361,362,2011-01-16,1,0.26,0.35,0.2985
362,363,2011-01-16,1,0.28,0.36,0.2537
363,364,2011-01-16,1,0.26,0.38,0.2537
364,365,2011-01-16,1,0.24,0.38,0.2239
365,366,2011-01-16,1,0.22,0.37,0.2537
366,367,2011-01-16,1,0.2,0.4,0.1642
367,368,2011-01-16,1,0.18,0.47,0.1343
368,369,2011-01-16,1,0.18,0.47,0.1642
369,370,2011-01-16,1,0.18,0.51,0.1642
370,371,2011-01-16,1,0.2,0.49,0.1343
371,372,2011-01-16,1,0.2,0.4,0.1045
372,373,2011-01-17,1,0.2,0.47,0.2239
373,374,2011-01-17,1,0.2,0.44,0.194
374,375,2011-01-17,1,0.18,0.43,0.2537
375,376,2011-01-17,1,0.18,0.43,0.194
376,377,2011-01-17,1,0.18,0.43,0.1343
377,378,2011-01-17,1,0.18,0.43,0.1642
378,379,2011-01-17,1,0.18,0.43,0.194
379,380,2011-01-17,1,0.16,0.5,0.1343
380,381,2011-01-17,1,0.16,0.47,0.2239
381,382,2011-01-17,1,0.16,0.47,0.2239
382,383,2011-01-17,1,0.16,0.5,0.2537
383,384,2011-01-17,1,0.16,0.55,0.194
384,385,2011-01-17,1,0.18,0.47,0.1343
385,386,2011-01-17,1,0.18,0.47,0.1343
386,387,2011-01-17,1,0.18,0.43,0.1045
387,388,2011-01-17,1,0.2,0.47,0.1642
388,389,2011-01-17,1,0.2,0.47,0.1642
389,390,2011-01-17,1,0.2,0.51,0.194
390,391,2011-01-17,1,0.18,0.55,0.2537
391,392,2011-01-17,1,0.18,0.59,0.194
392,393,2011-01-17,1,0.16,0.8,0.194
393,394,2011-01-17,1,0.16,0.8,0.194
394,395,2011-01-17,1,0.14,0.93,0.2537
395,396,2011-01-17,1,0.16,0.86,0.2836
396,397,2011-01-18,1,0.2,0.86,0.3284
397,398,2011-01-18,1,0.2,0.86,0.2239
398,399,2011-01-18,1,0.22,0.8,0.1642
399,400,2011-01-18,1,0.22,0.87,0.1642
400,401,2011-01-18,1,0.22,0.87,0.194
401,402,2011-01-18,1,0.22,0.82,0.194
402,403,2011-01-18,1,0.22,0.8,0.1642
403,404,2011-01-18,1,0.22,0.8,0.1343
404,405,2011-01-18,1,0.22,0.87,0.0
405,406,2011-01-18,1,0.22,0.93,0.1045
406,407,2011-01-18,1,0.22,0.93,0.0896
407,408,2011-01-18,1,0.22,0.93,0.0
408,409,2011-01-19,1,0.22,0.93,0.0
409,410,2011-01-19,1,0.22,0.93,0.1343
410,411,2011-01-19,1,0.22,0.93,0.1343
411,412,2011-01-19,1,0.22,0.93,0.1343
412,413,2011-01-19,1,0.22,0.93,0.0896
413,414,2011-01-19,1,0.22,0.93,0.0896
414,415,2011-01-19,1,0.24,0.92,0.1045
415,416,2011-01-19,1,0.24,0.93,0.1045
416,417,2011-01-19,1,0.24,0.93,0.1045
417,418,2011-01-19,1,0.26,0.93,0.1343
418,419,2011-01-19,1,0.28,0.87,0.0896
419,420,2011-01-19,1,0.3,0.81,0.0896
420,421,2011-01-19,1,0.4,0.62,0.2836
421,422,2011-01-19,1,0.4,0.58,0.2537
422,423,2011-01-19,1,0.4,0.54,0.2836
423,424,2011-01-19,1,0.38,0.58,0.3881
424,425,2011-01-19,1,0.36,0.57,0.3284
425,426,2011-01-19,1,0.34,0.61,0.2836
426,427,2011-01-19,1,0.32,0.57,0.4179
427,428,2011-01-19,1,0.32,0.49,0.2985
428,429,2011-01-19,1,0.32,0.49,0.4179
429,430,2011-01-19,1,0.3,0.52,0.1642
430,431,2011-01-19,1,0.3,0.52,0.4627
431,432,2011-01-20,1,0.26,0.56,0.3881
432,433,2011-01-20,1,0.26,0.56,0.0
433,434,2011-01-20,1,0.26,0.56,0.0
434,435,2011-01-20,1,0.26,0.56,0.1642
435,436,2011-01-20,1,0.26,0.56,0.1642
436,437,2011-01-20,1,0.24,0.6,0.2239
437,438,2011-01-20,1,0.22,0.6,0.2239
438,439,2011-01-20,1,0.22,0.55,0.2239
439,440,2011-01-20,1,0.22,0.55,0.2836
440,441,2011-01-20,1,0.24,0.52,0.2239
441,442,2011-01-20,1,0.26,0.48,0.2985
442,443,2011-01-20,1,0.28,0.45,0.1642
443,444,2011-01-20,1,0.3,0.42,0.0
444,445,2011-01-20,1,0.28,0.45,0.1045
445,446,2011-01-20,1,0.3,0.45,0.1343
446,447,2011-01-20,1,0.32,0.45,0.194
447,448,2011-01-20,1,0.3,0.49,0.1343
448,449,2011-01-20,1,0.3,0.49,0.1045
449,450,2011-01-20,1,0.26,0.56,0.194
450,451,2011-01-20,1,0.26,0.56,0.3284
451,452,2011-01-20,1,0.26,0.6,0.2836
452,453,2011-01-20,1,0.24,0.6,0.2537
453,454,2011-01-20,1,0.24,0.65,0.2836
454,455,2011-01-20,1,0.24,0.65,0.3284
455,456,2011-01-21,1,0.24,0.7,0.2537
456,457,2011-01-21,1,0.24,0.7,0.2537
457,458,2011-01-21,1,0.24,0.75,0.1642
458,459,2011-01-21,1,0.22,0.8,0.2985
459,460,2011-01-21,1,0.22,0.87,0.0896
460,461,2011-01-21,1,0.24,0.6,0.4179
461,462,2011-01-21,1,0.22,0.55,0.2537
462,463,2011-01-21,1,0.2,0.51,0.2836
463,464,2011-01-21,1,0.2,0.47,0.3284
464,465,2011-01-21,1,0.2,0.51,0.3582
465,466,2011-01-21,1,0.2,0.47,0.4627
466,467,2011-01-21,1,0.22,0.41,0.4627
467,468,2011-01-21,1,0.22,0.27,0.5821
468,469,2011-01-21,1,0.2,0.21,0.5821
469,470,2011-01-21,1,0.2,0.25,0.5224
470,471,2011-01-21,1,0.16,0.26,0.4478
471,472,2011-01-21,1,0.16,0.26,0.3582
472,473,2011-01-21,1,0.14,0.28,0.3582
473,474,2011-01-21,1,0.12,0.3,0.2537
474,475,2011-01-21,1,0.12,0.3,0.3284
475,476,2011-01-21,1,0.1,0.33,0.4179
476,477,2011-01-21,1,0.08,0.38,0.2836
477,478,2011-01-21,1,0.06,0.41,0.3881
478,479,2011-01-21,1,0.06,0.38,0.3284
479,480,2011-01-22,1,0.04,0.45,0.2537
480,481,2011-01-22,1,0.04,0.41,0.3881
481,482,2011-01-22,1,0.04,0.41,0.2537
482,483,2011-01-22,1,0.04,0.41,0.2836
483,484,2011-01-22,1,0.02,0.48,0.2985
484,485,2011-01-22,1,0.02,0.44,0.2239
485,486,2011-01-22,1,0.02,0.44,0.2836
486,487,2011-01-22,1,0.02,0.44,0.3284
487,488,2011-01-22,1,0.04,0.41,0.2537
488,489,2011-01-22,1,0.04,0.41,0.1642
489,490,2011-01-22,1,0.06,0.38,0.1343
490,491,2011-01-22,1,0.06,0.38,0.1045
491,492,2011-01-22,1,0.08,0.35,0.0
492,493,2011-01-22,1,0.1,0.33,0.1045
493,494,2011-01-22,1,0.12,0.28,0.0
494,495,2011-01-22,1,0.12,0.28,0.194
495,496,2011-01-22,1,0.12,0.28,0.0
496,497,2011-01-22,1,0.08,0.35,0.194
497,498,2011-01-22,1,0.08,0.35,0.1343
498,499,2011-01-22,1,0.06,0.45,0.1642
499,500,2011-01-22,1,0.06,0.41,0.0896
500,501,2011-01-22,1,0.06,0.49,0.0
501,502,2011-01-22,1,0.04,0.57,0.1045
502,503,2011-01-23,1,0.04,0.57,0.1045
503,504,2011-01-23,1,0.04,0.57,0.1045
504,505,2011-01-23,1,0.02,0.62,0.1343
505,506,2011-01-23,1,0.02,0.62,0.1343
506,507,2011-01-23,1,0.04,0.57,0.1045
507,508,2011-01-23,1,0.04,0.57,0.1045
508,509,2011-01-23,1,0.08,0.58,0.1642
509,510,2011-01-23,1,0.06,0.62,0.1642
510,511,2011-01-23,1,0.1,0.54,0.3582
511,512,2011-01-23,1,0.14,0.46,0.3881
512,513,2011-01-23,1,0.14,0.43,0.2239
513,514,2011-01-23,1,0.16,0.37,0.4627
514,515,2011-01-23,1,0.14,0.33,0.3881
515,516,2011-01-23,1,0.16,0.28,0.3582
516,517,2011-01-23,1,0.16,0.28,0.3582
517,518,2011-01-23,1,0.16,0.26,0.3284
518,519,2011-01-23,1,0.14,0.26,0.3881
519,520,2011-01-23,1,0.12,0.3,0.2537
520,521,2011-01-23,1,0.12,0.3,0.2836
521,522,2011-01-23,1,0.1,0.36,0.2537
522,523,2011-01-23,1,0.1,0.36,0.194
523,524,2011-01-23,1,0.08,0.38,0.194
524,525,2011-01-23,1,0.06,0.41,0.2239
525,526,2011-01-24,1,0.06,0.41,0.194
526,527,2011-01-24,1,0.04,0.45,0.194
527,528,2011-01-24,1,0.04,0.45,0.2537
528,529,2011-01-24,1,0.02,0.48,0.1343
529,530,2011-01-24,1,0.02,0.48,0.1343
530,531,2011-01-24,1,0.02,0.48,0.0896
531,532,2011-01-24,1,0.02,0.48,0.0
532,533,2011-01-24,1,0.04,0.49,0.0
533,534,2011-01-24,1,0.06,0.41,0.0
534,535,2011-01-24,1,0.1,0.42,0.0
535,536,2011-01-24,1,0.1,0.46,0.1343
536,537,2011-01-24,1,0.12,0.42,0.194
537,538,2011-01-24,1,0.14,0.43,0.2239
538,539,2011-01-24,1,0.14,0.46,0.2239
539,540,2011-01-24,1,0.16,0.4,0.1642
